Conductivity,BOD,Nitrate,Fecal_Coliform,Total_Coliform,Fecal_Streptococci,Temperature_Min,Temperature_Max,DO_Min,DO_Max,pH_Min,pH_Max,Temp_Avg,DO_Avg,pH_Avg,Potability
288.0,0.0,0.32,6.0,8.0,0.0,7.0,7.0,8.9,8.9,8.02,8.02,7.0,8.9,8.02,1
255.0,0.0,0.32,4.0,110.0,0.0,7.0,7.0,9.0,9.0,8.05,8.05,7.0,9.0,8.05,1
290.0,0.0,0.32,2.0,110.0,0.0,6.5,6.5,8.8,8.8,8.1,8.1,6.5,8.8,8.1,1
278.0,0.0,0.32,4.0,2.0,0.0,6.0,6.0,8.9,8.9,8.06,8.06,6.0,8.9,8.06,1
291.0,0.0,0.32,2.0,2.0,0.0,6.5,6.5,8.8,8.8,8.06,8.06,6.5,8.8,8.06,1
292.0,0.0,0.32,2.0,7.0,0.0,6.0,6.0,8.7,8.7,8.08,8.08,6.0,8.7,8.08,1
293.0,0.0,0.32,2.0,5.0,0.0,6.0,6.0,8.8,8.8,8.07,8.07,6.0,8.8,8.07,1
260.0,0.0,0.0,2.0,4.0,0.0,7.0,7.0,8.8,8.8,7.86,7.86,7.0,8.8,7.86,1
83.0,0.0,0.32,6.0,39.0,0.0,7.0,7.0,8.7,8.7,6.74,6.74,7.0,8.7,6.74,1
100.0,0.0,0.32,2.0,6.0,0.0,7.0,7.0,8.8,8.8,6.7,6.7,7.0,8.8,6.7,1
87.0,0.0,0.32,2.0,14.0,0.0,8.0,8.0,8.6,8.6,7.37,7.37,8.0,8.6,7.37,1
82.0,0.0,0.32,6.0,32.0,0.0,8.0,8.0,8.6,8.6,6.97,6.97,8.0,8.6,6.97,1
87.0,0.0,0.32,6.0,7.0,0.0,8.0,8.0,8.7,8.7,6.98,6.98,8.0,8.7,6.98,1
94.0,0.0,0.32,4.0,9.0,0.0,8.0,8.0,8.4,8.4,7.57,7.57,8.0,8.4,7.57,1
86.0,0.0,0.32,6.0,14.0,0.0,7.5,7.5,8.6,8.6,6.85,6.85,7.5,8.6,6.85,1
87.0,0.0,0.32,2.0,9.0,0.0,7.5,7.5,8.6,8.6,6.94,6.94,7.5,8.6,6.94,1
172.0,0.0,0.32,49.0,210.0,0.0,10.0,10.0,8.9,8.9,7.54,7.54,10.0,8.9,7.54,1
162.0,1.4,0.32,94.0,430.0,0.0,10.0,10.0,8.6,8.6,7.44,7.44,10.0,8.6,7.44,1
83.0,0.0,0.32,4.0,17.0,0.0,7.5,7.5,8.7,8.7,6.82,6.82,7.5,8.7,6.82,1
86.0,0.0,0.32,4.0,6.8,0.0,7.5,7.5,8.7,8.7,6.83,6.83,7.5,8.7,6.83,1
218.0,1.4,0.42,40.0,110.0,17.0,19.5,19.5,7.9,7.9,7.7,7.7,19.5,7.9,7.7,1
126.0,1.2,0.32,31.0,210.0,0.0,10.0,10.0,9.0,9.0,7.76,7.76,10.0,9.0,7.76,1
137.0,0.0,0.32,58.0,280.0,0.0,10.0,10.0,8.8,8.8,7.86,7.86,10.0,8.8,7.86,1
181.0,0.0,0.0,2.0,21.0,0.0,16.0,16.0,8.4,8.4,6.88,6.88,16.0,8.4,6.88,1
218.0,3.0,0.32,220.0,700.0,22.0,18.0,18.0,8.5,8.5,8.0,8.0,18.0,8.5,8.0,0
216.0,1.3,0.32,2.0,430.0,8.0,18.0,18.0,8.4,8.4,8.1,8.1,18.0,8.4,8.1,1
237.0,0.0,0.42,110.0,700.0,130.0,18.0,18.0,8.6,8.6,7.7,7.7,18.0,8.6,7.7,1
214.0,0.0,1.2,92.0,410.0,0.0,11.0,11.0,8.0,8.0,7.6,7.6,11.0,8.0,7.6,1
216.0,0.0,1.3,20.0,140.0,0.0,11.0,11.0,8.3,8.3,7.3,7.3,11.0,8.3,7.3,1
217.0,0.0,1.4,20.0,170.0,0.0,10.0,10.0,8.4,8.4,7.5,7.5,10.0,8.4,7.5,1
235.0,0.0,1.3,78.0,330.0,0.0,12.0,12.0,7.8,7.8,7.4,7.4,12.0,7.8,7.4,1
238.0,1.6,0.0,260.0,700.0,0.0,13.0,13.0,5.6,5.6,7.2,7.2,13.0,5.6,7.2,1
610.0,8.0,0.4,320.0,1500.0,0.0,10.0,10.0,2.9,2.9,7.2,7.2,10.0,2.9,7.2,0
574.0,11.0,0.4,2100.0,6300.0,0.0,10.0,10.0,1.0,1.0,7.1,7.1,10.0,1.0,7.1,0
258.0,1.2,1.3,330.0,940.0,0.0,12.0,12.0,7.1,7.1,7.8,7.8,12.0,7.1,7.8,1
294.0,1.6,1.4,33000.0,94000.0,0.0,11.0,11.0,1.0,1.0,7.2,7.2,11.0,1.0,7.2,0
200.0,0.0,1.2,18.0,110.0,0.0,9.0,9.0,7.2,7.2,7.7,7.7,9.0,7.2,7.7,1
221.0,0.0,1.2,11.0,170.0,0.0,10.0,10.0,7.6,7.6,7.5,7.5,10.0,7.6,7.5,1
229.0,0.0,1.2,320.0,840.0,0.0,10.0,10.0,7.3,7.3,7.6,7.6,10.0,7.3,7.6,1
238.0,0.0,1.3,250.0,580.0,0.0,9.0,9.0,7.3,7.3,7.4,7.4,9.0,7.3,7.4,1
254.0,1.1,1.6,400.0,1000.0,0.0,9.0,9.0,6.2,6.2,7.4,7.4,9.0,6.2,7.4,1
332.0,2.6,1.6,70000.0,8500.0,0.0,10.0,10.0,1.1,1.1,7.2,7.2,10.0,1.1,7.2,0
220.0,1.2,1.3,780.0,2200.0,0.0,13.0,13.0,4.8,4.8,7.2,7.2,13.0,4.8,7.2,0
792.0,50.0,3.0,33000.0,5500.0,0.0,10.0,10.0,0.0,0.0,6.9,6.9,10.0,0.0,6.9,0
589.0,50.0,4.6,22000.0,79000.0,0.0,11.0,11.0,0.0,0.0,7.2,7.2,11.0,0.0,7.2,0
320.0,1.4,1.3,4600.0,70000.0,0.0,12.0,12.0,1.2,1.2,7.1,7.1,12.0,1.2,7.1,0
307.0,2.5,1.5,31000.0,84000.0,0.0,13.0,13.0,1.4,1.4,7.1,7.1,13.0,1.4,7.1,0
232.0,1.1,1.2,250.0,580.0,0.0,11.0,11.0,5.6,5.6,7.2,7.2,11.0,5.6,7.2,1
234.0,1.2,1.2,180.0,610.0,0.0,12.0,12.0,5.6,5.6,7.2,7.2,12.0,5.6,7.2,1
