DO_Avg,BOD,Total_Coliform,Fecal_Coliform,pH_Avg,Conductivity,Nitrate,Potability
8.9,0.0,8.0,6.0,8.02,288.0,0.32,1
9.0,0.0,110.0,4.0,8.05,255.0,0.32,1
8.8,0.0,110.0,2.0,8.1,290.0,0.32,1
8.9,0.0,2.0,4.0,8.06,278.0,0.32,1
8.8,0.0,2.0,2.0,8.06,291.0,0.32,1
8.7,0.0,7.0,2.0,8.08,292.0,0.32,1
8.8,0.0,5.0,2.0,8.07,293.0,0.32,1
8.8,0.0,4.0,2.0,7.86,260.0,0.0,1
8.7,0.0,39.0,6.0,6.74,83.0,0.32,1
8.8,0.0,6.0,2.0,6.7,100.0,0.32,1
8.6,0.0,14.0,2.0,7.37,87.0,0.32,1
8.6,0.0,32.0,6.0,6.97,82.0,0.32,1
8.7,0.0,7.0,6.0,6.98,87.0,0.32,1
8.4,0.0,9.0,4.0,7.57,94.0,0.32,1
8.6,0.0,14.0,6.0,6.85,86.0,0.32,1
8.6,0.0,9.0,2.0,6.94,87.0,0.32,1
8.9,0.0,210.0,49.0,7.54,172.0,0.32,1
8.6,1.4,430.0,94.0,7.44,162.0,0.32,1
8.7,0.0,17.0,4.0,6.82,83.0,0.32,1
8.7,0.0,6.8,4.0,6.83,86.0,0.32,1
7.9,1.4,110.0,40.0,7.7,218.0,0.42,1
9.0,1.2,210.0,31.0,7.76,126.0,0.32,1
8.8,0.0,280.0,58.0,7.86,137.0,0.32,1
8.4,0.0,21.0,2.0,6.88,181.0,0.0,1
8.5,3.0,700.0,220.0,8.0,218.0,0.32,0
8.4,1.3,430.0,2.0,8.1,216.0,0.32,1
8.6,0.0,700.0,110.0,7.7,237.0,0.42,1
8.0,0.0,410.0,92.0,7.6,214.0,1.2,1
8.3,0.0,140.0,20.0,7.3,216.0,1.3,1
8.4,0.0,170.0,20.0,7.5,217.0,1.4,1
7.8,0.0,330.0,78.0,7.4,235.0,1.3,1
5.6,1.6,700.0,260.0,7.2,238.0,0.0,1
2.9,8.0,1500.0,320.0,7.2,610.0,0.4,0
1.0,11.0,6300.0,2100.0,7.1,574.0,0.4,0
7.1,1.2,940.0,330.0,7.8,258.0,1.3,1
1.0,1.6,94000.0,33000.0,7.2,294.0,1.4,0
7.2,0.0,110.0,18.0,7.7,200.0,1.2,1
7.6,0.0,170.0,11.0,7.5,221.0,1.2,1
7.3,0.0,840.0,320.0,7.6,229.0,1.2,1
7.3,0.0,580.0,250.0,7.4,238.0,1.3,1
6.2,1.1,1000.0,400.0,7.4,254.0,1.6,1
1.1,2.6,8500.0,70000.0,7.2,332.0,1.6,0
4.8,1.2,2200.0,780.0,7.2,220.0,1.3,0
0.0,50.0,5500.0,33000.0,6.9,792.0,3.0,0
0.0,50.0,79000.0,22000.0,7.2,589.0,4.6,0
1.2,1.4,70000.0,4600.0,7.1,320.0,1.3,0
1.4,2.5,84000.0,31000.0,7.1,307.0,1.5,0
5.6,1.1,580.0,250.0,7.2,232.0,1.2,1
5.6,1.2,610.0,180.0,7.2,234.0,1.2,1
