Station,Location,State,Temperature,Temp_Unit,Dissolved_Oxygen,DO_Unit,pH,pH_Unit,Conductivity,Cond_Unit,BOD,BOD_Unit,Nitrate,Nitrate_Unit,Fecal_Coliform,FC_Unit,Total_Coliform,TC_Unit,Fecal_Streptococci,FS_Unit
,,,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX
1867,RIVER     SUTLEJ     BEFORE CONF.   WITH  RIVER  SPITI AT KHAB,HIMACHAL PRADESH,7,14,8.9,9.4,8.02,8.42,288,467,BDL,BDL,0.32,0.61,6,20,8,1600,BDL,BDL
2611,"RIVER       SUTLEJ       AFTER CONF.   WITH   RIVER   SPIT
AT KHAB",HIMACHAL PRADESH,7,13,9,9.5,8.05,8.56,255,471,BDL,BDL,0.32,0.65,4,24,110,1600,BDL,BDL
3872,RIVER SUTLEJ D/S TIDONG HEP,HIMACHAL PRADESH,6.5,13,8.8,9.4,8.1,8.56,290,2137,BDL,BDL,0.32,0.59,2,17,110,1600,BDL,BDL
4448,"RIVER     SUTLEJ     BEFORE
CONFLUENCES            WITH RIVER TIDONG",HIMACHAL PRADESH,6,13,8.9,9.4,8.06,8.52,278,3392,BDL,BDL,0.32,0.62,4,38,2,350,BDL,BDL
4449,RIVER       SUTLEJ       AFTER CONFLUENCES            WITH RIVER TIDONG,HIMACHAL PRADESH,6.5,13,8.8,9.4,8.06,8.56,291,3970,BDL,BDL,0.32,0.58,2,170,2,1600,BDL,BDL
4452,RIVER     SUTLEJ     BEFORE CONFLUENCES   OF   RIVER BASPA,HIMACHAL PRADESH,6,13,8.7,9.6,8.08,8.53,292,2514,BDL,BDL,0.32,0.65,2,33,7,1600,BDL,BDL
3871,RIVER SUTLEJ D/S POWER HOUSE KASHANG HEP,HIMACHAL PRADESH,6,13,8.8,9.3,8.07,8.47,293,3157,BDL,BDL,0.32,0.6,2,22,5,1600,BDL,BDL
3870,RIVER       SUTLEJ       AFTER CONF. OF RIVER BASPA AT KARCHAM DAM,HIMACHAL PRADESH,7,13,8.8,9.2,7.86,8.49,260,2441,BDL,BDL,BDL,0.61,2,26,4,1600,BDL,BDL
1389,RIVER           SUTLEJ           AT WANGTOO BRIDGE,HIMACHAL PRADESH,7,13,8.7,9.3,6.74,8.54,83,2718,BDL,BDL,0.32,2.54,6,39,39,1600,BDL,BDL
4453,"RIVER       SUTLEJ       AFTER
CONFLUENCES   OF   RIVER BASPA",HIMACHAL PRADESH,7,13,8.8,9.3,6.7,8.46,100,1893,BDL,BDL,0.32,1.28,2,21,6,1600,BDL,BDL
3869,RIVER SUTLEJ D/S TRT OF RAMPUR HYDEL ELECTRIC PROJECT,HIMACHAL PRADESH,8,14,8.6,9.1,7.37,8.31,87,2517,BDL,BDL,0.32,1.14,2,33,14,1600,BDL,BDL
1086,RIVER     SUTLEJ     AT     U/S RAMPUR,HIMACHAL PRADESH,8,14,8.6,9.1,6.97,8.26,82,1166,BDL,BDL,0.32,1.74,6,58,32,1600,BDL,BDL
1087,RIVER     SUTLEJ     AT     D/S RAMPUR,HIMACHAL PRADESH,8,14,8.7,9.2,6.98,8.26,87,1257,BDL,BDL,0.32,0.87,6,47,7,1600,BDL,BDL
1013,RIVER     SUTLEJ     AT     U/S TATAPANI,HIMACHAL PRADESH,8,14,8.4,9.2,7.57,8.3,94,2594,BDL,BDL,0.32,1.15,4,22,9,1600,BDL,BDL
4446,RIVER          SUTLEJ          U/S IANDFILL SITE RAMPUR,HIMACHAL PRADESH,7.5,14,8.6,9.1,6.85,8.34,86,1152,BDL,BDL,0.32,4.34,6,27,14,1600,BDL,BDL
4447,RIVER          SUTLEJ          D/S LANDFILL SITE RAMPUR,HIMACHAL PRADESH,7.5,14,8.6,9.1,6.94,8.23,87,2489,BDL,BDL,0.32,0.82,2,350,9,1600,BDL,BDL
4032,RIVER    SUTLEJ    D/S    ACC BARMANA,HIMACHAL PRADESH,10,28,8.9,9.6,7.54,8.4,172,430,BDL,BDL,0.32,3.99,49,220,210,920,BDL,BDL
4033,RIVER        SUTLEJ        NEAR LUHNOO GROUND,HIMACHAL PRADESH,10,28,8.6,9.5,7.44,8.46,162,466,1.4,1.4,0.32,2.39,94,280,430,920,BDL,BDL
4450,RIVER     SUTLEJ     BEFORE CONFLUENCE WITH GANVI KHAND,HIMACHAL PRADESH,7.5,14,8.7,9.4,6.82,8.57,83,1176,BDL,BDL,0.32,2.81,4,94,17,1600,BDL,BDL
4451,RIVER       SUTLEJ       AFTER CONFLUENCE WITH GANVI KHAD,HIMACHAL PRADESH,7.5,14,8.7,9.4,6.83,8.39,86,1258,BDL,BDL,0.32,3.14,4,70,6.8,1600,BDL,BDL
30009,RIVER SUTLEJ AT NANGAL (H.P.),HIMACHAL PRADESH,19.5,20,7.9,9.6,7.7,8.5,218,271,1.4,4,0.42,1.42,40,54000,110,"16000
0",17,17
1014,RIVER SUTLEJ U/S OF EXIT POINT  OF  DEHAR  POWER HOUSE,HIMACHAL PRADESH,10,28,9,9.7,7.76,8.47,126,285,1.2,1.2,0.32,1.4,31,84,210,350,BDL,BDL
